@relation Megasena

@attribute dezena_1 numeric
@attribute dezena_2 numeric
@attribute dezena_3 numeric
@attribute dezena_4 numeric
@attribute dezena_5 numeric
@attribute dezena_6 numeric
@attribute acumulado {S,N}

@data
9,37,39,41,43,49,N
10,11,29,30,36,47,N
1,5,6,27,42,59,S
1,2,6,16,19,46,S
7,13,19,22,40,47,S
3,5,20,21,38,56,S
4,17,37,38,47,53,S
8,43,54,55,56,60,S
4,18,21,25,38,57,S
15,25,37,38,58,59,N
4,16,19,20,27,43,S
18,32,47,50,54,56,S
2,16,23,27,47,53,S
12,33,35,51,52,60,S
20,32,34,49,58,60,S
6,10,13,19,20,51,N
23,27,36,37,42,56,S
5,10,12,24,25,60,S
11,25,28,30,33,51,S
6,33,36,46,49,53,S
1,9,31,38,46,56,S
17,37,39,51,52,59,S
1,8,14,28,33,43,N
24,43,50,54,55,56,S
10,22,50,53,57,58,S
13,17,20,33,44,51,S
3,6,22,24,54,60,S
3,8,14,43,56,58,N
7,14,15,29,38,50,S
17,19,28,45,48,56,S
5,14,33,36,43,44,S
5,17,33,39,42,49,N
13,15,17,40,53,57,S
4,16,21,23,54,57,S
3,13,17,25,29,51,S
6,7,22,38,52,60,S
10,42,43,45,54,55,S
12,16,37,45,52,56,S
3,5,8,12,46,47,S
12,26,35,38,39,47,N
7,11,19,24,33,36,S
2,6,17,25,26,58,S
14,18,29,38,44,47,S
7,30,37,44,53,55,S
1,23,24,32,46,60,S
3,17,25,35,48,56,S
2,5,28,34,47,50,S
7,13,33,35,43,55,N
6,16,21,44,57,58,S
17,23,24,25,42,47,S
15,30,38,46,58,59,S
3,13,16,38,42,46,S
5,9,18,21,36,56,N
2,14,23,29,38,52,S
2,7,20,35,51,59,S
7,16,17,27,34,59,S
12,27,30,37,44,49,N
2,8,13,28,34,54,S
3,14,15,20,21,38,S
8,18,29,42,44,59,S
6,8,13,24,31,52,S
9,25,26,40,41,49,N
8,12,23,50,54,60,S
1,5,20,25,32,34,S
12,13,15,26,33,48,S
12,14,17,27,47,52,S
1,3,12,13,53,59,S
25,34,45,53,56,58,S
17,23,27,40,43,58,S
16,27,33,43,45,53,S
1,19,34,43,44,48,S
25,26,28,45,51,57,N
2,24,34,37,38,50,S
21,24,35,36,37,49,S
8,17,18,23,33,53,S
21,29,40,49,54,57,S
12,22,25,31,32,46,S
2,13,17,25,31,43,N
23,28,37,40,48,51,S
10,23,41,47,54,60,S
15,18,29,36,51,53,N
4,15,16,24,42,57,S
4,6,10,25,34,40,S
6,15,30,37,45,47,S
6,21,22,34,36,54,S
4,5,11,28,32,40,S
4,18,29,37,43,45,S
13,34,42,44,55,59,S
9,21,26,40,52,54,N
2,4,10,35,39,60,S
1,3,5,23,24,51,S
2,22,28,31,36,53,S
8,18,28,51,52,55,S
6,40,45,46,50,60,S
4,7,26,40,42,58,N
5,11,14,35,53,56,N
13,14,31,33,35,43,S
11,24,30,33,46,60,S
14,29,30,46,48,51,S
1,18,29,31,37,39,S
19,20,37,42,44,56,N
1,7,9,49,54,57,N
1,4,13,21,38,52,S
3,13,31,43,46,49,S
5,16,24,35,38,39,S
2,4,16,24,51,52,S
21,24,29,34,59,60,S
1,13,44,48,49,54,S
18,31,43,52,57,58,S
4,22,25,32,33,52,S
12,20,34,37,42,43,N
7,26,28,34,54,55,S
6,12,18,37,47,54,S
4,6,14,20,24,38,S
5,13,32,36,42,51,S
20,25,27,33,42,53,S
9,22,25,37,56,57,S
1,21,36,38,47,50,S
3,16,27,40,45,46,S
2,29,41,44,53,55,S
11,17,20,39,43,53,S
13,14,16,26,32,42,S
5,15,34,41,52,57,N
25,41,47,53,56,59,S
6,10,11,28,32,40,S
21,29,50,51,54,59,S
3,9,18,21,23,43,S
1,9,10,32,46,54,S
13,29,38,42,49,53,S
4,9,17,27,30,44,S
7,9,35,41,44,50,S
5,6,19,34,39,57,N
4,25,32,36,52,60,S
21,22,35,40,53,59,S
1,17,25,38,45,59,S
15,16,19,22,26,49,S
5,14,27,37,40,41,S
3,13,26,27,41,42,N
7,31,41,44,46,55,S
10,13,22,41,42,58,S
8,15,19,20,54,59,S
6,18,20,40,50,53,S
8,32,36,44,45,55,N
15,16,31,41,43,51,S
25,32,34,42,51,60,S
6,16,23,24,28,38,N
32,35,41,55,58,59,S
7,11,20,28,45,48,S
12,44,50,52,54,55,S
3,16,20,43,52,56,N
5,12,15,29,51,58,S
2,30,31,42,45,47,S
8,10,24,33,45,48,S
12,30,32,35,43,44,N
17,23,42,49,52,55,S
4,13,17,21,41,44,N
4,14,17,43,51,58,S
9,11,16,35,50,58,N
2,13,42,52,54,58,S
6,25,30,37,39,41,S
21,23,33,38,48,51,S
8,27,36,41,53,56,N
4,10,14,19,28,44,S
10,19,23,35,39,56,N
12,13,22,57,59,60,S
1,11,28,33,38,48,N
2,9,31,35,45,50,S
1,13,21,37,51,52,S
7,41,46,51,55,58,S
4,27,40,43,46,54,N
10,14,26,35,36,49,S
17,28,29,42,49,50,N
11,22,23,36,52,59,S
1,10,13,20,42,50,S
1,3,4,28,45,53,S
22,35,38,39,41,59,S
5,15,19,26,27,33,N
5,6,23,26,27,53,S
6,23,29,39,51,60,S
1,27,33,35,51,55,S
3,5,10,28,46,60,S
2,7,11,16,40,44,S
9,16,21,34,41,60,S
17,22,43,46,55,59,S
14,23,24,25,26,51,S
6,36,41,44,48,58,S
17,27,34,42,43,46,N
4,15,31,38,41,53,S
5,10,21,32,40,42,S
1,3,5,23,41,58,N
1,26,28,41,54,60,S
4,11,12,19,43,49,S
25,28,32,33,42,43,S
3,9,17,32,37,44,N
7,9,14,17,24,32,S
5,12,15,19,29,52,S
1,8,18,23,35,40,S
10,16,37,50,52,57,N
12,15,19,34,44,51,N
5,20,22,30,35,55,N
12,24,44,45,49,53,S
11,19,29,44,47,55,S
29,31,39,41,51,58,S
26,32,40,43,46,54,N
18,20,26,34,51,56,S
3,7,19,24,53,55,S
15,23,24,25,47,57,S
13,21,26,32,41,52,S
20,32,37,38,48,58,S
10,20,33,40,45,50,S
6,15,29,45,57,59,S
3,9,23,30,32,35,N
6,12,30,31,35,50,S
7,28,37,46,53,58,S
14,18,30,35,42,59,N
3,27,32,45,49,51,S
12,17,40,42,47,54,N
23,26,28,36,42,49,S
13,14,36,53,55,60,N
13,27,43,50,54,58,S
5,19,30,48,52,55,S
2,6,22,24,28,58,S
7,16,18,20,21,44,S
2,4,16,21,37,58,S
1,2,38,49,50,59,N
11,26,27,37,42,48,S
13,16,40,43,45,59,S
11,13,21,33,39,45,N
8,40,41,44,53,56,S
16,27,36,42,44,59,S
19,22,29,37,41,59,S
3,7,24,32,36,45,N
15,25,41,42,45,54,S
2,22,29,31,41,55,S
10,25,50,52,57,60,S
7,31,36,45,56,57,S
9,13,15,37,41,42,N
6,21,33,44,46,47,N
25,28,38,41,57,59,S
11,31,35,40,56,57,S
4,7,21,22,28,56,S
11,16,20,23,32,47,S
19,24,33,47,50,60,S
8,27,44,51,53,60,N
2,16,32,37,43,57,S
3,10,23,30,34,46,S
16,32,34,35,41,56,S
21,36,40,49,54,55,S
7,25,41,42,43,55,S
15,23,30,34,49,55,S
4,17,26,32,51,54,N
11,12,24,37,44,56,S
1,4,21,22,30,56,S
16,19,20,32,44,55,S
2,21,26,32,34,52,S
1,4,5,19,28,34,N
7,12,50,54,55,60,S
13,15,20,33,43,58,S
4,6,33,43,59,60,S
5,16,20,30,54,56,S
11,20,48,53,58,60,S
8,9,26,43,50,53,S
1,5,13,25,31,33,N
7,16,34,41,50,53,S
2,23,38,46,48,54,S
1,8,45,46,55,58,S
5,6,10,21,33,47,S
17,18,19,25,49,52,S
5,9,27,35,40,45,N
14,24,26,29,31,54,S
9,10,24,36,56,58,S
10,17,23,27,47,52,N
11,13,18,26,39,47,S
16,19,30,37,38,48,S
22,39,45,53,57,59,S
4,26,38,40,52,56,S
10,15,18,22,31,55,S
4,23,31,47,58,59,S
5,16,20,25,30,58,S
5,11,31,38,47,53,N
9,14,23,24,33,36,N
25,28,34,42,48,54,N
7,8,14,30,32,36,N
12,32,37,41,50,56,S
29,35,37,44,47,56,S
3,13,25,33,47,60,N
6,9,11,17,18,50,S
6,7,20,25,30,36,S
7,25,26,30,40,57,S
5,16,17,18,22,41,S
13,23,24,34,45,53,S
5,6,7,12,28,35,S
22,25,28,41,45,57,N
7,12,24,31,44,50,S
3,20,42,46,51,52,S
1,20,28,33,36,41,S
5,22,23,24,34,60,N
2,5,7,33,49,53,S
24,27,28,38,41,57,S
9,26,48,49,57,58,S
12,25,30,40,41,60,S
7,13,17,30,37,47,N
7,11,34,41,42,59,S
5,11,27,38,53,60,S
19,30,41,47,56,57,S
13,16,17,26,41,44,S
4,11,25,29,39,55,N
4,11,25,39,50,55,N
2,14,28,29,31,32,S
22,24,30,32,38,41,S
14,23,30,41,47,50,S
14,16,24,37,38,53,S
5,32,34,37,40,58,S
12,21,22,28,43,50,N
6,24,28,43,51,56,S
16,20,27,30,35,48,S
3,19,20,31,40,53,N
12,16,17,19,23,48,S
20,22,27,47,50,53,S
4,11,31,32,48,49,S
11,18,29,44,47,56,S
26,31,33,40,49,54,S
8,15,22,25,30,47,S
1,3,4,21,23,53,N
21,23,40,44,51,52,S
29,32,33,38,46,48,S
5,7,14,21,23,51,N
10,11,12,24,35,40,S
2,4,14,23,37,51,S
1,13,20,27,35,37,S
23,28,29,34,42,44,S
4,27,35,44,52,53,S
14,23,24,26,41,51,N
7,23,33,43,57,59,S
2,18,22,26,30,54,S
4,14,16,31,52,54,S
1,4,9,36,46,48,S
5,12,13,16,27,50,S
9,10,12,33,42,60,S
5,16,22,23,43,56,S
16,29,34,49,51,54,S
4,6,7,12,24,41,N
10,12,14,33,35,36,S
11,22,46,51,56,58,N
7,12,41,46,56,60,S
1,10,12,26,48,52,S
19,30,33,39,40,52,S
8,9,28,32,38,54,S
10,15,23,30,43,57,S
15,16,24,41,59,60,S
7,20,25,44,47,49,S
19,23,30,46,55,60,S
7,16,38,40,41,52,N
2,14,22,23,37,60,S
5,19,21,54,56,58,S
2,30,32,35,45,53,S
12,17,21,32,40,42,S
13,19,20,29,31,54,S
23,24,29,47,53,55,S
16,28,31,41,45,59,S
7,20,33,37,46,56,N
19,29,39,47,49,54,S
5,29,44,51,57,59,N
19,23,34,37,52,58,N
4,6,7,15,21,51,S
10,12,27,33,49,52,N
13,29,32,38,44,50,S
1,14,21,35,42,60,N
1,4,40,42,51,54,S
4,18,23,33,39,60,S
16,17,24,39,46,57,N
1,5,10,24,31,33,S
2,5,16,26,44,54,S
1,5,9,42,51,58,S
10,13,25,35,43,48,S
3,12,19,27,45,46,S
5,38,41,45,48,55,S
24,33,40,41,55,59,S
13,22,30,31,47,57,S
9,10,28,46,55,56,S
31,34,37,38,53,54,S
14,22,48,50,53,56,S
24,28,40,47,50,52,S
5,12,16,18,22,24,N
17,35,36,39,43,54,S
22,28,29,43,47,48,S
23,36,48,52,53,58,S
5,14,18,43,46,54,S
7,12,22,34,38,53,N
4,7,15,16,35,40,S
15,23,31,39,47,49,N
6,12,35,36,40,50,S
5,15,35,42,45,49,S
10,11,14,20,31,58,N
6,18,34,42,45,47,S
1,2,5,24,32,46,S
7,16,22,28,36,37,N
11,16,27,47,55,59,S
10,13,28,29,54,59,S
11,18,43,44,50,53,S
5,16,27,43,56,58,S
7,16,27,31,46,60,S
1,24,28,38,40,58,S
24,29,34,47,57,60,S
2,12,32,38,47,48,S
2,18,22,49,51,57,S
14,28,33,44,49,56,N
18,25,26,31,34,49,S
8,24,31,36,38,55,S
10,12,31,38,45,56,S
5,12,14,21,45,59,S
2,4,29,33,35,53,S
16,26,35,45,52,58,N
1,4,27,38,42,44,S
1,13,23,33,54,56,S
7,12,21,25,34,42,S
8,15,32,45,49,52,N
9,16,41,42,52,53,S
12,29,30,43,57,59,S
5,35,37,38,45,51,S
12,37,43,55,56,60,S
8,22,32,33,40,53,S
18,27,29,36,46,59,S
6,10,16,34,42,47,N
7,30,32,37,50,54,S
3,13,14,24,43,51,S
8,28,30,32,46,60,S
17,26,32,36,43,55,S
8,10,21,25,38,50,N
26,37,40,47,52,58,S
4,13,17,27,39,50,S
16,17,28,30,36,54,S
4,10,17,24,30,54,S
10,11,17,31,37,43,S
1,6,7,29,48,57,S
7,10,30,44,54,59,S
3,5,11,14,38,48,S
13,20,29,42,43,57,S
3,5,23,30,46,47,S
2,10,15,21,58,59,S
6,15,23,31,37,59,N
11,17,26,36,48,52,S
3,24,33,48,52,57,S
7,20,31,32,50,53,S
