@relation Megasena-weka.filters.unsupervised.attribute.Remove-R61

@attribute 1 {t}
@attribute 2 {t}
@attribute 3 {t}
@attribute 4 {t}
@attribute 5 {t}
@attribute 6 {t}
@attribute 7 {t}
@attribute 8 {t}
@attribute 9 {t}
@attribute 10 {t}
@attribute 11 {t}
@attribute 12 {t}
@attribute 13 {t}
@attribute 14 {t}
@attribute 15 {t}
@attribute 16 {t}
@attribute 17 {t}
@attribute 18 {t}
@attribute 19 {t}
@attribute 20 {t}
@attribute 21 {t}
@attribute 22 {t}
@attribute 23 {t}
@attribute 24 {t}
@attribute 25 {t}
@attribute 26 {t}
@attribute 27 {t}
@attribute 28 {t}
@attribute 29 {t}
@attribute 30 {t}
@attribute 31 {t}
@attribute 32 {t}
@attribute 33 {t}
@attribute 34 {t}
@attribute 35 {t}
@attribute 36 {t}
@attribute 37 {t}
@attribute 38 {t}
@attribute 39 {t}
@attribute 40 {t}
@attribute 41 {t}
@attribute 42 {t}
@attribute 43 {t}
@attribute 44 {t}
@attribute 45 {t}
@attribute 46 {t}
@attribute 47 {t}
@attribute 48 {t}
@attribute 49 {t}
@attribute 50 {t}
@attribute 51 {t}
@attribute 52 {t}
@attribute 53 {t}
@attribute 54 {t}
@attribute 55 {t}
@attribute 56 {t}
@attribute 57 {t}
@attribute 58 {t}
@attribute 59 {t}
@attribute 60 {t}
@attribute resultado {AC,NA}

@data
?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,AC
?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,t,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,NA
?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,NA
t,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,AC
t,t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,AC
?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,AC
?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,AC
?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,AC
?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,t,t,?,?,?,t,AC
?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,AC
